tweets,Tweets
,$RIVN they aren’t STEALING the people and tech from $TSLA they’re borrowing. Big difference idiots. Lawsuit won’t stick. ✨
,@TigerWTrader1 No it’s dead 💀 along with $PROG I’m almost all short!!! Short $TSLA $MSTR $RIVN 📉📉📉📉🐻🐻🐻🐻🐻🐻
,"Thinking of adding to my $RIVN short today or tomorrow. Dec 16 Thursday is earnings report.

What earnings though!?"
,"#TheOptionBlock 1054: The American #Options Dream with @optionpit and @MikeTosaw is now available. Download from your preferred #podcast provider or listen now via https://t.co/TU8RB3h96E
$PFE $FB $AMC $AAPL $ADBE $FDX $RIVN $PK $PFGC $CFLT #MemeStock #OptionsTrading https://t.co/RP03GbzXNJ"
,"JUST ♻️ FOR #BUSD AIRDROP

💎💎💎💎💎💎💎💎💎

LORDSTOWN $RIDE TO $100
Current price just $4.10 📈

💎💎💎💎💎💎💎💎💎
_________________________________
$nio $tsla $rivn $fsr $plug $lcid $xpev $blnk $li $nkla $gme $amc
@cctip_com airdrop 20 BUSD 99999"
,"Downgrade to $16 $LCID my downgrade $26  $RIVN $60👎👎currently too high valuation with earnings zero dollar all speculation, $TSLA $600, $FSR bottom probably $12 far to get car and catch the market @YahooFinance @CNBC @business @stockstobuy @Stocktwits"
,"With the exception of $LCID &amp; $RIVN, every top traded stock on fidelity moved the opposite to what you expect yesterday. Most impressively $GME which dropped 14% despite 95% of trades being ""Buy"". https://t.co/dsual5tcIX"
,"Thinking about trading options or stock in Beyond Meat, Coca-Cola, Rivian Automotive, Johnson .. $BYND $JNJ $KO $MRNA $RIVN https://t.co/VYiwxU9AcZ"
,@CJOppel $RIVN Motortrend Truck of the Year: https://t.co/w92Kk90iSf
,@Gotteeth23 RIVN.  Told you I’d fix it
,"A nice print for $RIVN at 9:30am -- SIDE: Between
Click https://t.co/8RgsvGxcIk
for more.
Runners 📈: https://t.co/VC1LdPHaJR
Losers 📉: https://t.co/9MWV4THfhQ
Gappers 🪜: https://t.co/bHQKF1W40n"
,"New Blind Spot-Detection Tech In Cars Better Senses Motorcycles
$HMC Honda claims the Sensing 360 system removes all blind spots.
https://t.co/ZbPyOmTfjV

$TM $STLA $TSLA $GELYY $DAI $INTC $SNE $NVDA $AMD $AMAT $RIVN $F $GM"
,"$rivn, $spy, $lcid, and $appl … look for your put scalps. Lower volume, paper hands folding. I’m going to reach out and call $tsla for $900 puts. (Watching, will check results and print). Not advice or anything, solely my gut based on charts/ volume. https://t.co/j0wO0vwhsk"
,"Trending &amp; Most Active on Stocktwits!

$DOGE $AMC $GME $BYND $LAZR $KMPH $LICY $NET $NKE $IPOF $PFE $BYND $TMX $AAPL $IBM $AA $NEOG $U $COIN $FCX $X $TSLA $F $TM $GME $AMC $WB $PTON $RIVN $DELL $RL $ZS $AKAM $MRNA $PLTR $AFRM $FB $AMZN $CLOV $AMD $BB https://t.co/lld7swP31p"
,"10 p unfollowed me since i warned people about FOMC. You guys dont deserve me !

$upst $sklz $dm $sofi $pltr $fubo $upst $pypl   $ggpi  $dats  $mq $fsr $lcid $rivn $lc $dlo $tsla $mq $geni $zm $afrm $nio $f $aapl $twtr $afrm $f $peri $arvl  $arkk $spy $qqq $uvxy $shib $btc $sol"
,"What are your thoughts about WEAK $AMC #Apes LEAVING?
&gt;&gt; GOOD RIDDANCE? &lt;&lt;
Increases our chances for REAL #MOASS when time comes for #NakedShorts? As $BBIG, $LRC, $BABA, $TSLA, #SHIBAINU, $HOOD, $PLTR, $PROG, $LCID, $RIVN, $SNDL, $CLOV, $SOFI, $AAPL, $DWAC, $BB, $HD, $AMD, $AMZN? https://t.co/I2V49vT13M"
,@unusual_whales This is musk vs bezos with $rivn as the battle front. I’m shorting all the vaporware car makers but tough to go against the one that Amazon backs. $lcid looks like the better bet against company
,"$RIVN have ToS showing they report this week, held channel break out on retest so far. This gap down may ruin this nice inverse h&amp;s formation https://t.co/LUDn3l9GFR"
,@unusual_whales How does one play this? PUTS on both. $TSLA losing talent and $RIVN seems to have no talent lol!!!
,@StockMKTNewz PUTS on $RIVN because of news $TSLA lawsuit against them accusing them of stealing documents
,@unusual_whales Ouch. So puts on $RIVN?
,I been noticing that $RIVN not been plunging with the market they been holdin steady.
,"$lcid -  Worlds Highest Rated EV**!!

**LUCID  -  ""IN A CLASS OF ITS OWN""

**RATED HIGHER THAN MERCEDES**!!

**Lucid - 3rd Party Auto manufacturers call Lucid to acquire their Tech.!

-NO OTHER EV MANUFACTURER CAN MAKE THIS CLAIM-
$tsla $rivn $nio $fsr $spy $aapl $nvda $amc https://t.co/3HYiQnPeVE"
,@unusual_whales Isn’t it $RIVN
,"Tesla-Rivian Trade Secrets Fight Is Nudged Forward by Judge | Bloomberg

$TSLA
$RIVN https://t.co/HVffnBEZGG"
,"$TSLA $RIVN Tesla-Rivian Trade Secrets Fight Is Nudged Forward by Judge - BBG

https://t.co/NqBSknHKd5"
,"$TSLA $RIVN Tesla-Rivian Trade Secrets Fight Is Nudged Forward by Judge - BBG

https://t.co/Cucpbj9QBr"
,$RIVN down premarket but honestly it’s expected. Recently read @MorganStanley report with their $147 price target for #Rivian along with other consensus of $130 and it’s all good to me https://t.co/3IzPfvYI2C
,#BREAKING Producer Price Index PPI 0.8% v 0.5% m/m 9.6% y/y highest in 30 yrs $GS $MS $C $WFC $BAC $JPM $BRK $BX $BLK $PHK $RY $BMO $BCS $UBS $CS $HSBC $BP $CVX $COP $XOM $TOT $TRP $WTI $XLF $XLE $SPY $QQQ $SPX $DXY $USD $AAPL $CAT $WMT $HD $MSFT $RIVN $VIX $VXN #WallStreet #NYC
,"$RIVN - Earnings on Thursday. Don't expect this market to follow any logical patterns today. Watch the options heavily for possible insider movement. But this being the first earnings report since the IPO, no one can possible predict how $RIVN will react to any news. https://t.co/yT6SgtfBuU"
,Tuesday Pre Market Prep 12/13! LIVE TRADING! $RIVN $AMC $NEGG $FB $SQ $PYPL https://t.co/laTPIQ9qvK via @YouTube
